number,value,datetime_start,datetime_complete,duration,params_grid_size,params_hidden_layers,params_hidden_units,params_learning_rate,params_spline_order,user_attrs_compute_time_sec,user_attrs_err_k,user_attrs_err_u,system_attrs_tpe:relative_params:0,state
6,0.0008380321307842948,2026-09-20 21:15:53.226355,2026-09-20 21:24:13.044672,0 days 00:08:19.818317,3,3,25,0.01,4,499.8031470775604,0.0007950904152517421,0.0008809738463168475,,COMPLETE
34,0.0008546150237125344,2026-09-20 23:52:31.068821,2026-09-21 00:01:07.621167,0 days 00:08:36.552346,7,3,25,0.01,4,516.536431312561,0.0008921206806613327,0.0008171093667637361,"{""grid_size"": 7, ""hidden_layers"": 3, ""hidden_units"": 25, ""learning_rate"": 0.01, ""spline_order"": 4}",COMPLETE
11,0.0009097447388736429,2026-09-20 21:49:21.352630,2026-09-20 21:57:39.563991,0 days 00:08:18.211361,3,3,25,0.01,4,498.1955523490906,0.0007547825407043757,0.0010647069370429102,"{""grid_size"": 3, ""hidden_layers"": 3, ""hidden_units"": 25, ""learning_rate"": 0.01, ""spline_order"": 4}",COMPLETE
41,0.0010431272240870805,2026-09-21 00:40:35.885872,2026-09-21 00:47:08.657679,0 days 00:06:32.771807,3,3,25,0.01,3,392.75425004959106,0.000603997581768624,0.001482256866405537,"{""grid_size"": 3, ""hidden_layers"": 3, ""hidden_units"": 25, ""learning_rate"": 0.01, ""spline_order"": 3}",COMPLETE
19,0.0010770090364045038,2026-09-20 22:32:53.612725,2026-09-20 22:39:36.672320,0 days 00:06:43.059595,7,3,25,0.01,3,403.04574942588806,0.0008453620683074913,0.0013086560045015166,"{""grid_size"": 7, ""hidden_layers"": 3, ""hidden_units"": 25, ""learning_rate"": 0.01, ""spline_order"": 3}",COMPLETE
10,0.0010805188558137462,2026-09-20 21:40:56.605963,2026-09-20 21:49:21.351213,0 days 00:08:24.745250,3,3,25,0.01,4,504.7285132408142,0.0007838310164223325,0.00137720669520516,"{""grid_size"": 3, ""hidden_layers"": 3, ""hidden_units"": 25, ""learning_rate"": 0.01, ""spline_order"": 4}",COMPLETE
9,0.0011636326123429085,2026-09-20 21:32:32.260253,2026-09-20 21:40:56.604315,0 days 00:08:24.344062,5,3,25,0.0001,4,504.32647585868835,0.0006016408191484226,0.0017256244055373945,,COMPLETE
31,0.0011716307793255267,2026-09-20 23:36:55.107564,2026-09-20 23:43:43.693783,0 days 00:06:48.586219,7,3,25,0.01,3,408.56848549842834,0.0010152206756558538,0.0013280408829951995,"{""grid_size"": 7, ""hidden_layers"": 3, ""hidden_units"": 25, ""learning_rate"": 0.01, ""spline_order"": 3}",COMPLETE
43,0.0011936719272916617,2026-09-21 00:53:43.090530,2026-09-21 01:00:17.909614,0 days 00:06:34.819084,3,3,25,0.01,3,394.80283522605896,0.0006957072406158157,0.0016916366139675077,"{""grid_size"": 3, ""hidden_layers"": 3, ""hidden_units"": 25, ""learning_rate"": 0.01, ""spline_order"": 3}",COMPLETE
37,0.0012178236907008915,2026-09-21 00:16:19.448642,2026-09-21 00:24:41.605294,0 days 00:08:22.156652,7,3,25,0.001,4,502.13949608802795,0.0009269691236867903,0.0015086782577149926,"{""grid_size"": 7, ""hidden_layers"": 3, ""hidden_units"": 25, ""learning_rate"": 0.001, ""spline_order"": 4}",COMPLETE
35,0.0012569788880148387,2026-09-21 00:01:07.622270,2026-09-21 00:09:56.433341,0 days 00:08:48.811071,7,3,25,0.01,4,528.7939887046814,0.0015309284776240017,0.0009830292984056757,"{""grid_size"": 7, ""hidden_layers"": 3, ""hidden_units"": 25, ""learning_rate"": 0.01, ""spline_order"": 4}",COMPLETE
49,0.0013479645757251504,2026-09-21 01:30:20.639647,2026-09-21 01:38:36.989151,0 days 00:08:16.349504,3,3,25,0.01,4,496.33424496650696,0.0010304569687013337,0.001665472182748967,"{""grid_size"": 3, ""hidden_layers"": 3, ""hidden_units"": 25, ""learning_rate"": 0.01, ""spline_order"": 4}",COMPLETE
38,0.0014409834697324373,2026-09-21 00:24:41.606500,2026-09-21 00:33:11.309428,0 days 00:08:29.702928,5,3,25,0.01,4,509.6854155063629,0.0011743021561240428,0.0017076647833408317,"{""grid_size"": 5, ""hidden_layers"": 3, ""hidden_units"": 25, ""learning_rate"": 0.01, ""spline_order"": 4}",COMPLETE
42,0.002454755137815462,2026-09-21 00:47:08.658714,2026-09-21 00:53:43.089493,0 days 00:06:34.430779,3,3,25,0.0001,3,394.41588401794434,0.001163604250384699,0.003745906025246225,"{""grid_size"": 3, ""hidden_layers"": 3, ""hidden_units"": 25, ""learning_rate"": 0.0001, ""spline_order"": 3}",COMPLETE
20,0.003474335493408205,2026-09-20 22:39:36.673590,2026-09-20 22:47:59.567683,0 days 00:08:22.894093,3,3,25,0.001,4,502.8743143081665,0.0037537190010942753,0.0031949519857221356,"{""grid_size"": 3, ""hidden_layers"": 3, ""hidden_units"": 25, ""learning_rate"": 0.001, ""spline_order"": 4}",COMPLETE
