number,value,datetime_start,datetime_complete,duration,params_grid_size,params_hidden_layers,params_hidden_units,params_learning_rate,params_spline_order,user_attrs_compute_time_sec,user_attrs_err_k,user_attrs_err_u,system_attrs_tpe:relative_params:0,state
0,0.0017081124999083958,2026-09-20 20:46:52.137638,2026-09-20 20:52:41.829834,0 days 00:05:49.692196,5,2,15,0.0001,4,349.6805257797241,0.0007601018090128856,0.0026561231908039063,,COMPLETE
1,0.0018595801900212735,2026-09-20 20:52:41.830488,2026-09-20 20:59:15.979656,0 days 00:06:34.149168,7,3,35,0.001,3,394.1302959918976,0.000765039389007962,0.002954120991034585,,COMPLETE
2,0.0027434537413362128,2026-09-20 20:59:15.981581,2026-09-20 21:03:40.130341,0 days 00:04:24.148760,7,1,25,0.001,4,264.1387903690338,0.00105444307774724,0.004432464404925186,,COMPLETE
3,0.062875373320298,2026-09-20 21:03:40.131634,2026-09-20 21:07:20.357718,0 days 00:03:40.226084,5,1,35,0.01,3,220.22023129463196,0.1086767804678038,0.017073966172792207,,COMPLETE
4,0.011696210295592573,2026-09-20 21:07:20.358561,2026-09-20 21:09:31.755978,0 days 00:02:11.397417,5,3,35,0.001,2,131.38928174972534,0.008165909070929876,0.01522651152025527,,COMPLETE
5,0.0022864939879202583,2026-09-20 21:09:31.756673,2026-09-20 21:15:53.225165,0 days 00:06:21.468492,3,2,35,0.001,4,381.4557263851166,0.001511179061140929,0.003061808914699588,,COMPLETE
6,0.0008380321307842948,2026-09-20 21:15:53.226355,2026-09-20 21:24:13.044672,0 days 00:08:19.818317,3,3,25,0.01,4,499.8031470775604,0.0007950904152517421,0.0008809738463168475,,COMPLETE
7,0.0016967791433329703,2026-09-20 21:24:13.046055,2026-09-20 21:30:54.097526,0 days 00:06:41.051471,5,3,35,0.001,3,401.03746366500854,0.0008888617550846145,0.002504696531581326,,COMPLETE
8,0.004342574775771883,2026-09-20 21:30:54.098768,2026-09-20 21:32:32.259600,0 days 00:01:38.160832,5,2,35,0.01,2,98.1531753540039,0.0020498297169546,0.006635319834589166,,COMPLETE
9,0.0011636326123429085,2026-09-20 21:32:32.260253,2026-09-20 21:40:56.604315,0 days 00:08:24.344062,5,3,25,0.0001,4,504.32647585868835,0.0006016408191484226,0.0017256244055373945,,COMPLETE
10,0.0010805188558137462,2026-09-20 21:40:56.605963,2026-09-20 21:49:21.351213,0 days 00:08:24.745250,3,3,25,0.01,4,504.7285132408142,0.0007838310164223325,0.00137720669520516,"{""grid_size"": 3, ""hidden_layers"": 3, ""hidden_units"": 25, ""learning_rate"": 0.01, ""spline_order"": 4}",COMPLETE
11,0.0009097447388736429,2026-09-20 21:49:21.352630,2026-09-20 21:57:39.563991,0 days 00:08:18.211361,3,3,25,0.01,4,498.1955523490906,0.0007547825407043757,0.0010647069370429102,"{""grid_size"": 3, ""hidden_layers"": 3, ""hidden_units"": 25, ""learning_rate"": 0.01, ""spline_order"": 4}",COMPLETE
