model_type,hidden_layers,hidden_units,adam_lr,adam_iters,lbfgs_iters,activation,grid_size,spline_order,sampling,sigma,exp_scale,n_obs_u,n_obs_k,n_pde,seed,lambda_pde_scheduler,adaptive_weights,alpha,update_every,regularization,pde_alpha,pde_beta,epsilon,parameters,flops,training_time_sec,compute_time_sec,evaluation_time_ms,first_derivative_time_ms,second_derivative_time_ms,err_u_global,err_k_global,err_u_inside,err_u_outside,err_k_inside,err_k_outside,mean_global_error,timestamp
KAN,1,25,0.001,2000,2000,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,1500,2754,173.6748493539999,175.22016143798828,26.130043999728514,68.88666199938598,128.9891170008559,0.05050217858644611,0.6163632169010651,0.06244444253396613,0.0428468811841897,0.6269963041533715,0.6095471353290738,0.3334326977437556,2026-09-14_11-13-10
KAN,1,30,0.001,2000,2000,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,1800,3304,175.3257778770003,176.28272342681885,26.922228000330506,69.96107599934476,151.90078999967227,0.057409122935920785,0.07898325389113575,0.056169937482616505,0.05820347258547482,0.04635695648418426,0.09989754710072006,0.06819618841352827,2026-09-14_11-16-05
KAN,1,35,0.001,2000,2000,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,2100,3854,176.12383702500028,177.15867805480957,32.398016000115604,80.69962299941835,175.17126599977928,0.0707727072055989,0.34346660567846665,0.0678287391385597,0.07265986622293173,0.3704173164590743,0.32619050902423097,0.20711965644203278,2026-09-14_11-19-01
KAN,2,25,0.001,2000,2000,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,14000,25304,256.12016508000033,257.3051791191101,44.20057300012559,113.29732299964235,271.0070290004296,0.008924788711355077,0.0014019782810181895,0.015024694130443855,0.00501459292988791,0.0006991244379697252,0.0018525256163056663,0.005163383496186633,2026-09-14_11-21-58
KAN,2,30,0.001,2000,2000,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,19800,35764,258.07233162600096,259.38573598861694,52.96320200068294,135.49186199998076,338.96229599849903,0.007736644871688314,0.0030078133628748745,0.00972060709854732,0.006464874213445362,0.0016514738886274593,0.0038772617438027055,0.005372229117281594,2026-09-14_11-26-16
KAN,2,35,0.001,2000,2000,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,26600,48024,260.87034842200046,263.54730224609375,89.96777399988787,190.77783499960788,1467.198530001042,0.010538328991110813,0.0021709290889695134,0.015839577162865905,0.0071400929835755,0.001045861363456927,0.0028921263489134793,0.006354629040040163,2026-09-14_11-30-35
KAN,3,25,0.001,2000,2000,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,26500,47854,338.65418509699884,340.45906114578247,95.31857299953117,175.73834199902194,584.601799999291,0.003825684952345563,0.00291501526134386,0.005761023952142714,0.0025850830293986707,0.002100831353738853,0.0034369280226291214,0.0033703501068447113,2026-09-14_11-34-59
KAN,3,30,0.001,2000,2000,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,37800,68224,333.3684523009997,336.61966156959534,107.77961799976765,211.5670740004134,1912.042833000669,0.006487907112855368,0.0017949519903530347,0.012057323409457265,0.0029177684611874856,0.0008351923553218938,0.0024101825256294075,0.004141429551604201,2026-09-14_11-40-39
KAN,3,35,0.001,2000,2000,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,51100,92194,337.31923336399996,344.93501019477844,94.93783299876668,1080.7371299997612,5355.2816530009295,0.005759993047662422,0.012165508681266498,0.011238963499721437,0.0022478325014707464,0.0023482177013761795,0.018458643924785936,0.00896275086446446,2026-09-14_11-46-16
