model_type,hidden_layers,hidden_units,adam_lr,adam_iters,lbfgs_iters,activation,grid_size,spline_order,sampling,sigma,exp_scale,n_obs_u,n_obs_k,n_pde,seed,lambda_pde_scheduler,adaptive_weights,alpha,update_every,regularization,pde_alpha,pde_beta,epsilon,parameters,flops,compute_time_sec,err_u_global,err_k_global,mean_global_error,timestamp
KAN,1,25,0.001,200,200,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,1500,2754,17.371464490890503,0.12511599197657122,0.13530928868112405,0.13021264032884763,2026-09-08_16-22-43
KAN,1,30,0.001,200,200,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,1800,3304,16.14736008644104,0.1432400457322622,0.02685783426406733,0.08504893999816476,2026-09-08_16-23-01
KAN,1,35,0.001,200,200,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,2100,3854,16.036460161209106,0.08856923729817796,0.11978228403366784,0.1041757606659229,2026-09-08_16-23-17
KAN,2,25,0.001,200,200,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,14000,25304,22.87089991569519,0.0977110023547702,0.02903650733419195,0.06337375484448107,2026-09-08_16-23-33
KAN,2,30,0.001,200,200,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,19800,35764,22.979300022125244,0.17122896648724367,0.03173651582935706,0.10148274115830036,2026-09-08_16-23-56
KAN,2,35,0.001,200,200,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,26600,48024,26.560945510864258,0.09268659442214312,0.015809826216297028,0.05424821031922007,2026-09-08_16-24-19
KAN,3,25,0.001,200,200,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,26500,47854,31.47754216194153,0.09286155471081037,0.014870766122511273,0.05386616041666082,2026-09-08_16-24-45
KAN,3,30,0.001,200,200,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,37800,68224,34.66288185119629,0.10632916970748711,0.011896755554872282,0.0591129626311797,2026-09-08_16-25-17
KAN,3,35,0.001,200,200,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,51100,92194,38.787410259246826,0.06748135648583566,0.01277802889214585,0.040129692688990755,2026-09-08_16-25-51
