model_type,hidden_layers,hidden_units,adam_lr,adam_iters,lbfgs_iters,activation,grid_size,spline_order,sampling,sigma,exp_scale,n_obs_u,n_obs_k,n_pde,seed,lambda_pde_scheduler,adaptive_weights,alpha,update_every,regularization,pde_alpha,pde_beta,epsilon,parameters,flops,training_time_sec,compute_time_sec,evaluation_time_ms,first_derivative_time_ms,second_derivative_time_ms,err_u_global,err_k_global,err_u_inside,err_u_outside,err_k_inside,err_k_outside,mean_global_error,timestamp
MLP,1,15,0.001,2000,2000,Sine(),,,gaussian,5.5,1.0,100,100,1000,42,True,True,7,100,False,0.5,5.0,1.0,602,1080,71.56884233400342,74.32084512710571,1.0150210000574589,3.7788290064781904,6.451324006775394,0.27633085519115774,1.4844329152714577,0.3659075025234985,0.21890992741401633,1.700279070680426,1.3460699951375035,0.8803818852313077,2026-09-20_17-10-10
MLP,1,90,0.001,2000,2000,Sine(),,,gaussian,5.5,1.0,100,100,1000,42,True,True,7,100,False,0.5,5.0,1.0,17102,33480,12.851301638002042,13.564573049545288,8.277688990347087,31.302286006393842,15.90693200705573,0.08894025420480459,0.006009990732808442,0.1423696694045409,0.05469062907676849,0.006202314696347445,0.005886706140796259,0.047475122468806516,2026-09-20_17-11-24
MLP,1,104,0.001,2000,2000,Sine(),,,gaussian,5.5,1.0,100,100,1000,42,True,True,7,100,False,0.5,5.0,1.0,22674,44512,13.406131608004216,14.571987628936768,1.8239909986732528,4.451368004083633,14.773849994526245,0.08641541884090884,0.0063758987855702725,0.14825308233322046,0.04677589096122188,0.007267170351429929,0.00580457085873716,0.04639565881323955,2026-09-20_17-11-38
MLP,2,15,0.001,2000,2000,Sine(),,,gaussian,5.5,1.0,100,100,1000,42,True,True,7,100,False,0.5,5.0,1.0,1082,1980,84.20805944899621,85.96586084365845,0.7542079983977601,5.631081003230065,9.824894994380884,0.02128621705300376,0.12219763715490153,0.024761075612535738,0.01905874361740634,0.1682892103927334,0.09265175687424006,0.07174192710395265,2026-09-20_17-11-53
MLP,2,90,0.001,2000,2000,Sine(),,,gaussian,5.5,1.0,100,100,1000,42,True,True,7,100,False,0.5,5.0,1.0,33482,65880,88.73706886499713,91.31400489807129,16.57622799393721,45.26911600260064,78.3698059967719,0.07877887636515013,0.0003745847811703312,0.035833717108755686,0.1063078246064286,0.00024494184396213015,0.00045768922809866534,0.03957673057316023,2026-09-20_17-13-18
MLP,2,104,0.001,2000,2000,Sine(),,,gaussian,5.5,1.0,100,100,1000,42,True,True,7,100,False,0.5,5.0,1.0,44514,87776,95.00525002500217,97.50398516654968,2.871332995709963,6.0499040118884295,25.3535939991707,0.0535887986122217,0.0004024101299547164,0.022466583799224064,0.07353893631286121,0.00023029021320073776,0.0005127434099252156,0.026995604371088208,2026-09-20_17-14-50
MLP,3,15,0.001,2000,2000,Sine(),,,gaussian,5.5,1.0,100,100,1000,42,True,True,7,100,False,0.5,5.0,1.0,1562,2880,90.56904972299526,92.94348502159119,1.0149820009246469,7.47232700814493,20.639231996028684,0.007071775541822852,0.02624328796901238,0.0061142279332162585,0.007685588111442462,0.024084527679115716,0.02762710866766408,0.016657531755417617,2026-09-20_17-16-27
MLP,3,90,0.001,2000,2000,Sine(),,,gaussian,5.5,1.0,100,100,1000,42,True,True,7,100,False,0.5,5.0,1.0,49862,98280,92.42242643798818,94.97758293151855,22.359752998454496,61.86789400817361,32.15040398936253,0.0014543884576715745,0.00030297993958690485,0.0015865597067545674,0.0013696632980029898,0.0001959448560022543,0.0003715921726539884,0.0008786841986292397,2026-09-20_17-18-00
MLP,3,104,0.001,2000,2000,Sine(),,,gaussian,5.5,1.0,100,100,1000,42,True,True,7,100,False,0.5,5.0,1.0,66354,131040,91.63365037999756,93.63609385490417,27.580905007198453,69.85629598784726,46.241550997365266,0.0017298389625954942,0.000598661092096049,0.0013654820724394343,0.0019634010716698914,0.00023464811273140462,0.0008320027455349235,0.0011642500273457716,2026-09-20_17-19-35
