number,value,datetime_start,datetime_complete,duration,params_grid_size,params_hidden_layers,params_hidden_units,params_learning_rate,params_spline_order,user_attrs_compute_time_sec,user_attrs_err_k,user_attrs_err_u,state
0,0.49368815181312964,2026-09-15 21:41:24.688790,2026-09-15 21:41:30.542606,0 days 00:00:05.853816,7,2,15,0.001,4,5.852524042129517,0.8833669871485881,0.10400931647767116,COMPLETE
1,0.5920141346165011,2026-09-15 21:41:30.543240,2026-09-15 21:41:33.374110,0 days 00:00:02.830870,3,1,35,0.01,3,2.8297982215881348,0.9248509260308608,0.25917734320214136,COMPLETE
2,0.46576841219749476,2026-09-15 21:41:33.374719,2026-09-15 21:41:39.823177,0 days 00:00:06.448458,5,3,25,0.001,3,6.447287321090698,0.8911031203055391,0.04043370408945048,COMPLETE
3,0.674420246760443,2026-09-15 21:41:39.823843,2026-09-15 21:41:44.279114,0 days 00:00:04.455271,3,2,15,0.01,4,4.454115390777588,1.096610064807661,0.25223042871322493,COMPLETE
4,0.4682746982838777,2026-09-15 21:41:44.279795,2026-09-15 21:42:03.613990,0 days 00:00:19.334195,7,3,35,0.001,3,19.3319308757782,0.8925903191116537,0.043959077456101704,COMPLETE
