number,value,datetime_start,datetime_complete,duration,params_grid_size,params_hidden_layers,params_hidden_units,params_learning_rate,params_spline_order,user_attrs_compute_time_sec,user_attrs_err_k,user_attrs_err_u,system_attrs_tpe:relative_params:0,state
22,0.003937357125316233,2026-09-20 03:43:13.923392,2026-09-20 03:47:08.785439,0 days 00:03:54.862047,5,3,25,0.01,4,234.84583497047424,0.004362244035050817,0.0035124702155816495,"{""grid_size"": 5, ""hidden_layers"": 3, ""hidden_units"": 25, ""learning_rate"": 0.01, ""spline_order"": 4}",COMPLETE
23,0.006678462338125456,2026-09-20 03:47:08.786443,2026-09-20 03:55:35.215408,0 days 00:08:26.428965,3,3,35,0.0001,4,506.4092936515808,0.007641659725469361,0.005715264950781551,"{""grid_size"": 3, ""hidden_layers"": 3, ""hidden_units"": 35, ""learning_rate"": 0.0001, ""spline_order"": 4}",COMPLETE
24,0.004530292920047148,2026-09-20 03:55:35.217002,2026-09-20 04:00:39.558644,0 days 00:05:04.341642,7,2,25,0.0001,3,304.3248038291931,0.005010315485293991,0.004050270354800304,"{""grid_size"": 7, ""hidden_layers"": 2, ""hidden_units"": 25, ""learning_rate"": 0.0001, ""spline_order"": 3}",COMPLETE
25,0.20694450131676623,2026-09-20 04:00:39.559646,2026-09-20 04:01:48.386897,0 days 00:01:08.827251,5,1,25,0.0001,2,68.81819820404053,0.15793525574808728,0.25595374688544514,"{""grid_size"": 5, ""hidden_layers"": 1, ""hidden_units"": 25, ""learning_rate"": 0.0001, ""spline_order"": 2}",COMPLETE
26,0.012068174510011494,2026-09-20 04:01:48.387368,2026-09-20 04:08:35.030270,0 days 00:06:46.642902,5,3,35,0.01,3,406.62645196914673,0.02153080359605413,0.0026055454239688578,"{""grid_size"": 5, ""hidden_layers"": 3, ""hidden_units"": 35, ""learning_rate"": 0.01, ""spline_order"": 3}",COMPLETE
27,0.018727662213984007,2026-09-20 04:08:35.031787,2026-09-20 04:10:49.189490,0 days 00:02:14.157703,5,3,35,0.001,2,134.1431782245636,0.017167573482630007,0.020287750945338006,"{""grid_size"": 5, ""hidden_layers"": 3, ""hidden_units"": 35, ""learning_rate"": 0.001, ""spline_order"": 2}",COMPLETE
28,0.00504485068360373,2026-09-20 04:10:49.190431,2026-09-20 04:17:27.579834,0 days 00:06:38.389403,5,2,35,0.01,4,398.3703889846802,0.006414755033691912,0.0036749463335155473,"{""grid_size"": 5, ""hidden_layers"": 2, ""hidden_units"": 35, ""learning_rate"": 0.01, ""spline_order"": 4}",COMPLETE
29,0.0025273637044867193,2026-09-20 04:17:27.581354,2026-09-20 04:23:52.857733,0 days 00:06:25.276379,7,3,15,0.0001,3,385.2639904022217,0.002536108477251465,0.0025186189317219737,"{""grid_size"": 7, ""hidden_layers"": 3, ""hidden_units"": 15, ""learning_rate"": 0.0001, ""spline_order"": 3}",COMPLETE
30,0.002862905115116019,2026-09-20 04:23:52.858333,2026-09-20 04:30:20.127222,0 days 00:06:27.268889,7,3,15,0.0001,3,387.25883293151855,0.002270472584343154,0.003455337645888884,"{""grid_size"": 7, ""hidden_layers"": 3, ""hidden_units"": 15, ""learning_rate"": 0.0001, ""spline_order"": 3}",COMPLETE
31,0.0026235778272960877,2026-09-20 04:30:20.127876,2026-09-20 04:36:45.028704,0 days 00:06:24.900828,7,3,15,0.0001,3,384.89198756217957,0.003041608133165148,0.002205547521427027,"{""grid_size"": 7, ""hidden_layers"": 3, ""hidden_units"": 15, ""learning_rate"": 0.0001, ""spline_order"": 3}",COMPLETE
32,0.002997619649742455,2026-09-20 04:36:45.029321,2026-09-20 04:43:09.479328,0 days 00:06:24.450007,7,3,15,0.0001,3,384.44099164009094,0.002784294710035757,0.003210944589449153,"{""grid_size"": 7, ""hidden_layers"": 3, ""hidden_units"": 15, ""learning_rate"": 0.0001, ""spline_order"": 3}",COMPLETE
33,0.1806277679514418,2026-09-20 04:43:09.479992,2026-09-20 04:45:44.448522,0 days 00:02:34.968530,7,3,35,0.0001,2,154.95157265663147,0.20138990233547924,0.15986563356740435,"{""grid_size"": 7, ""hidden_layers"": 3, ""hidden_units"": 35, ""learning_rate"": 0.0001, ""spline_order"": 2}",COMPLETE
34,0.0017506756628371065,2026-09-20 04:45:44.449648,2026-09-20 04:53:45.631391,0 days 00:08:01.181743,7,3,15,0.0001,4,481.165495634079,0.0016924165742630932,0.00180893475141112,"{""grid_size"": 7, ""hidden_layers"": 3, ""hidden_units"": 15, ""learning_rate"": 0.0001, ""spline_order"": 4}",COMPLETE
35,0.0020875477027794058,2026-09-20 04:53:45.632120,2026-09-20 05:01:52.388387,0 days 00:08:06.756267,7,3,15,0.0001,4,486.74308371543884,0.0013572281091498628,0.0028178672964089485,"{""grid_size"": 7, ""hidden_layers"": 3, ""hidden_units"": 15, ""learning_rate"": 0.0001, ""spline_order"": 4}",COMPLETE
36,0.0018773718417491557,2026-09-20 05:01:52.389431,2026-09-20 05:09:56.823439,0 days 00:08:04.434008,7,3,15,0.0001,4,484.4226908683777,0.0013146104783076534,0.002440133205190658,"{""grid_size"": 7, ""hidden_layers"": 3, ""hidden_units"": 15, ""learning_rate"": 0.0001, ""spline_order"": 4}",COMPLETE
37,0.006888001270444409,2026-09-20 05:09:56.824291,2026-09-20 05:17:59.506302,0 days 00:08:02.682011,7,3,15,0.0001,4,482.66878294944763,0.00220937700686293,0.011566625534025888,"{""grid_size"": 7, ""hidden_layers"": 3, ""hidden_units"": 15, ""learning_rate"": 0.0001, ""spline_order"": 4}",COMPLETE
38,0.009134186297380662,2026-09-20 05:17:59.507117,2026-09-20 05:26:03.815131,0 days 00:08:04.308014,7,3,15,0.001,4,484.29182600975037,0.0066510326594905736,0.01161733993527075,"{""grid_size"": 7, ""hidden_layers"": 3, ""hidden_units"": 15, ""learning_rate"": 0.001, ""spline_order"": 4}",COMPLETE
39,0.10750473256650088,2026-09-20 05:26:03.815962,2026-09-20 05:27:44.166423,0 days 00:01:40.350461,7,2,15,0.0001,2,100.34029603004456,0.09024212572959585,0.12476733940340591,"{""grid_size"": 7, ""hidden_layers"": 2, ""hidden_units"": 15, ""learning_rate"": 0.0001, ""spline_order"": 2}",COMPLETE
40,0.009605790778443729,2026-09-20 05:27:44.166962,2026-09-20 05:35:45.919519,0 days 00:08:01.752557,3,3,15,0.0001,4,481.74374127388,0.006069322673029503,0.013142258883857954,"{""grid_size"": 3, ""hidden_layers"": 3, ""hidden_units"": 15, ""learning_rate"": 0.0001, ""spline_order"": 4}",COMPLETE
41,0.08962391958851387,2026-09-20 05:35:45.920094,2026-09-20 05:40:14.327684,0 days 00:04:28.407590,7,1,25,0.0001,4,268.3943033218384,0.142616258359738,0.03663158081728974,"{""grid_size"": 7, ""hidden_layers"": 1, ""hidden_units"": 25, ""learning_rate"": 0.0001, ""spline_order"": 4}",COMPLETE
42,0.0043832870158171,2026-09-20 05:40:14.328828,2026-09-20 05:48:55.113903,0 days 00:08:40.785075,7,3,35,0.0001,4,520.7653477191925,0.004542379022384412,0.004224195009249788,"{""grid_size"": 7, ""hidden_layers"": 3, ""hidden_units"": 35, ""learning_rate"": 0.0001, ""spline_order"": 4}",COMPLETE
43,0.19673040122648333,2026-09-20 05:48:55.114947,2026-09-20 05:53:11.986624,0 days 00:04:16.871677,7,1,15,0.0001,4,256.86152052879333,0.35314782861182076,0.040312973841145926,"{""grid_size"": 7, ""hidden_layers"": 1, ""hidden_units"": 15, ""learning_rate"": 0.0001, ""spline_order"": 4}",COMPLETE
44,0.003491025746530241,2026-09-20 05:53:11.987198,2026-09-20 05:59:23.886236,0 days 00:06:11.899038,7,2,15,0.0001,4,371.8877635002136,0.0016736800384400301,0.005308371454620452,"{""grid_size"": 7, ""hidden_layers"": 2, ""hidden_units"": 15, ""learning_rate"": 0.0001, ""spline_order"": 4}",COMPLETE
45,0.345709687517018,2026-09-20 05:59:23.886841,2026-09-20 06:03:01.771921,0 days 00:03:37.885080,7,1,15,0.01,3,217.87560772895813,0.6607711840525169,0.030648190981519174,"{""grid_size"": 7, ""hidden_layers"": 1, ""hidden_units"": 15, ""learning_rate"": 0.01, ""spline_order"": 3}",COMPLETE
46,0.0017489673056167534,2026-09-20 06:03:01.772447,2026-09-20 06:11:03.061859,0 days 00:08:01.289412,5,3,15,0.0001,4,481.27679443359375,0.0010779790592605502,0.0024199555519729566,"{""grid_size"": 5, ""hidden_layers"": 3, ""hidden_units"": 15, ""learning_rate"": 0.0001, ""spline_order"": 4}",COMPLETE
47,0.002074822411455736,2026-09-20 06:11:03.062663,2026-09-20 06:19:09.131835,0 days 00:08:06.069172,5,3,15,0.0001,4,486.05765295028687,0.0010435247509014817,0.00310612007200999,"{""grid_size"": 5, ""hidden_layers"": 3, ""hidden_units"": 15, ""learning_rate"": 0.0001, ""spline_order"": 4}",COMPLETE
48,0.17801454534825037,2026-09-20 06:19:09.132592,2026-09-20 06:21:21.981259,0 days 00:02:12.848667,5,3,15,0.0001,2,132.83944845199585,0.18847119907913307,0.16755789161736767,"{""grid_size"": 5, ""hidden_layers"": 3, ""hidden_units"": 15, ""learning_rate"": 0.0001, ""spline_order"": 2}",COMPLETE
49,0.002812748182168358,2026-09-20 06:21:21.981896,2026-09-20 06:29:25.338079,0 days 00:08:03.356183,5,3,15,0.0001,4,483.3434319496155,0.002290838986793636,0.0033346573775430797,"{""grid_size"": 5, ""hidden_layers"": 3, ""hidden_units"": 15, ""learning_rate"": 0.0001, ""spline_order"": 4}",COMPLETE
