model_type,hidden_layers,hidden_units,adam_lr,adam_iters,lbfgs_iters,activation,grid_size,spline_order,sampling,sigma,exp_scale,n_obs_u,n_obs_k,n_pde,seed,lambda_pde_scheduler,adaptive_weights,alpha,update_every,regularization,pde_alpha,pde_beta,epsilon,parameters,flops,training_time_sec,compute_time_sec,evaluation_time_ms,first_derivative_time_ms,second_derivative_time_ms,err_u_global,err_k_global,err_u_inside,err_u_outside,err_k_inside,err_k_outside,mean_global_error,timestamp
KAN,2,15,0.001,1,1,,7,4,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,7020,13024,0.590617887999997,2.4749386310577393,48.65990600001169,141.48323799997797,322.5385069999902,0.0664608083721427,1.932895863609761,0.07056954577103174,0.06382700234721381,1.9540135245935768,1.9193589014406482,0.9996783359909519,2026-09-14_20-51-08
KAN,1,35,0.01,1,1,,3,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,1680,3014,0.12946772400005102,1.057915210723877,28.736134000041602,72.93392199994742,158.8337790000196,0.10192762048355711,1.2781135843755627,0.09900749973594519,0.10379949275766732,1.4943608274667104,1.1394935567530318,0.6900206024295599,2026-09-14_20-51-10
KAN,3,25,0.001,1,1,,5,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,26500,47854,0.2642829520000305,3.1908395290374756,123.97286500004157,217.6264990000618,1581.4246670000784,0.03686652179559677,1.8825100708774989,0.05477068870171619,0.02538949172757149,1.9325630752233565,1.8504248116814364,0.9596882963365478,2026-09-14_20-51-11
KAN,2,15,0.01,1,1,,3,4,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,4860,8704,0.24946622100003424,1.5085253715515137,44.536527999980535,114.715498999999,374.9511440000788,0.10576729877662341,1.732598667980032,0.09810213537577687,0.11068086505921734,1.801104409568906,1.6886847310640873,0.9191829833783277,2026-09-14_20-51-14
KAN,3,35,0.001,1,1,,7,3,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,61320,112634,0.264776528000084,16.69897437095642,105.31839999998738,2751.522842999975,7483.663362000016,0.022316324465773817,1.9793695805878466,0.0433072638758746,0.008860594074683568,1.9773654286294988,1.980654293381659,1.0008429525268103,2026-09-14_20-51-16
