number,value,datetime_start,datetime_complete,duration,params_activation,params_hidden_layers,params_hidden_units,params_learning_rate,user_attrs_compute_time_sec,user_attrs_err_k,user_attrs_err_u,system_attrs_tpe:relative_params:0,state
22,0.0013199545212951597,2026-09-20 09:22:51.158814,2026-09-20 09:24:25.569290,0 days 00:01:34.410476,Sine,3,90,0.001,94.39954853057861,0.000518531734903517,0.0021213773076868025,"{""activation"": ""Sine"", ""hidden_layers"": 3, ""hidden_units"": 90, ""learning_rate"": 0.001}",COMPLETE
23,1.9211142777512695,2026-09-20 09:24:25.570112,2026-09-20 09:25:45.508597,0 days 00:01:19.938485,Sine,1,90,0.001,79.9309389591217,3.73057643114481,0.11165212435772903,"{""activation"": ""Sine"", ""hidden_layers"": 1, ""hidden_units"": 90, ""learning_rate"": 0.001}",COMPLETE
24,0.010641897686946358,2026-09-20 09:25:45.509271,2026-09-20 09:27:20.140126,0 days 00:01:34.630855,Sine,3,15,0.001,94.62120985984802,0.011203530598566587,0.010080264775326132,"{""activation"": ""Sine"", ""hidden_layers"": 3, ""hidden_units"": 15, ""learning_rate"": 0.001}",COMPLETE
25,0.01769800727142314,2026-09-20 09:27:20.140784,2026-09-20 09:28:41.759941,0 days 00:01:21.619157,Sine,2,90,0.01,81.61128306388855,0.02555518510245694,0.00984082944038934,"{""activation"": ""Sine"", ""hidden_layers"": 2, ""hidden_units"": 90, ""learning_rate"": 0.01}",COMPLETE
26,0.06574741394818971,2026-09-20 09:28:41.760701,2026-09-20 09:30:17.926219,0 days 00:01:36.165518,Sigmoid,3,90,0.001,96.15747308731079,0.11681536546955643,0.014679462426822994,"{""activation"": ""Sigmoid"", ""hidden_layers"": 3, ""hidden_units"": 90, ""learning_rate"": 0.001}",COMPLETE
27,0.007474092723731239,2026-09-20 09:30:17.926973,2026-09-20 09:31:42.310330,0 days 00:01:24.383357,Sine,2,90,0.001,84.37288546562195,0.0011601459423361995,0.013788039505126278,"{""activation"": ""Sine"", ""hidden_layers"": 2, ""hidden_units"": 90, ""learning_rate"": 0.001}",COMPLETE
28,0.009335771575405804,2026-09-20 09:31:42.311411,2026-09-20 09:33:17.250259,0 days 00:01:34.938848,Sine,3,90,0.01,94.92943692207336,0.012629507271830756,0.006042035878980852,"{""activation"": ""Sine"", ""hidden_layers"": 3, ""hidden_units"": 90, ""learning_rate"": 0.01}",COMPLETE
29,0.004015822090450641,2026-09-20 09:33:17.250981,2026-09-20 09:35:09.451787,0 days 00:01:52.200806,Tanh,3,90,0.001,112.19171404838562,0.0005312904511525651,0.0075003537297487185,"{""activation"": ""Tanh"", ""hidden_layers"": 3, ""hidden_units"": 90, ""learning_rate"": 0.001}",COMPLETE
30,0.0013199545212951597,2026-09-20 09:35:09.452498,2026-09-20 09:36:47.586142,0 days 00:01:38.133644,Sine,3,90,0.001,98.12508702278137,0.000518531734903517,0.0021213773076868025,"{""activation"": ""Sine"", ""hidden_layers"": 3, ""hidden_units"": 90, ""learning_rate"": 0.001}",COMPLETE
31,0.0013199545212951597,2026-09-20 09:36:47.586828,2026-09-20 09:38:55.871733,0 days 00:02:08.284905,Sine,3,90,0.001,128.27170300483704,0.000518531734903517,0.0021213773076868025,"{""activation"": ""Sine"", ""hidden_layers"": 3, ""hidden_units"": 90, ""learning_rate"": 0.001}",COMPLETE
32,0.0022614811210457378,2026-09-20 09:38:55.872986,2026-09-20 09:40:36.359416,0 days 00:01:40.486430,Sine,3,104,0.001,100.47694945335388,0.0016146459644719988,0.002908316277619477,"{""activation"": ""Sine"", ""hidden_layers"": 3, ""hidden_units"": 104, ""learning_rate"": 0.001}",COMPLETE
33,0.0013199545212951597,2026-09-20 09:40:36.360250,2026-09-20 09:42:18.971704,0 days 00:01:42.611454,Sine,3,90,0.001,102.60241842269897,0.000518531734903517,0.0021213773076868025,"{""activation"": ""Sine"", ""hidden_layers"": 3, ""hidden_units"": 90, ""learning_rate"": 0.001}",COMPLETE
34,0.023513229776725014,2026-09-20 09:42:18.972342,2026-09-20 09:43:40.039563,0 days 00:01:21.067221,Sigmoid,1,90,0.001,81.05909585952759,0.014644180626471433,0.0323822789269786,"{""activation"": ""Sigmoid"", ""hidden_layers"": 1, ""hidden_units"": 90, ""learning_rate"": 0.001}",COMPLETE
35,0.8990017977179205,2026-09-20 09:43:40.040088,2026-09-20 09:45:01.255632,0 days 00:01:21.215544,Sine,1,90,0.01,81.20783543586731,1.711602713840231,0.08640088159561016,"{""activation"": ""Sine"", ""hidden_layers"": 1, ""hidden_units"": 90, ""learning_rate"": 0.01}",COMPLETE
36,0.006033983641784686,2026-09-20 09:45:01.256310,2026-09-20 09:46:21.378332,0 days 00:01:20.122022,Sine,2,104,0.0001,80.11215233802795,0.000697766731103373,0.011370200552465999,"{""activation"": ""Sine"", ""hidden_layers"": 2, ""hidden_units"": 104, ""learning_rate"": 0.0001}",COMPLETE
37,0.18200163436248315,2026-09-20 09:46:21.379028,2026-09-20 09:47:46.174643,0 days 00:01:24.795615,Sigmoid,1,104,0.01,84.78866863250732,0.3411228335894522,0.02288043513551406,"{""activation"": ""Sigmoid"", ""hidden_layers"": 1, ""hidden_units"": 104, ""learning_rate"": 0.01}",COMPLETE
38,0.0013199545212951597,2026-09-20 09:47:46.175214,2026-09-20 09:49:22.138632,0 days 00:01:35.963418,Sine,3,90,0.001,95.95592379570007,0.000518531734903517,0.0021213773076868025,"{""activation"": ""Sine"", ""hidden_layers"": 3, ""hidden_units"": 90, ""learning_rate"": 0.001}",COMPLETE
39,0.8411786477043828,2026-09-20 09:49:22.139276,2026-09-20 09:50:34.325990,0 days 00:01:12.186714,Sine,1,15,0.0001,72.17995572090149,1.2941485409530848,0.38820875445568065,"{""activation"": ""Sine"", ""hidden_layers"": 1, ""hidden_units"": 15, ""learning_rate"": 0.0001}",COMPLETE
40,0.7594411859331507,2026-09-20 09:50:34.326628,2026-09-20 09:51:27.618586,0 days 00:00:53.291958,Sine,1,15,0.001,53.28481149673462,1.232590794347371,0.2862915775189302,"{""activation"": ""Sine"", ""hidden_layers"": 1, ""hidden_units"": 15, ""learning_rate"": 0.001}",COMPLETE
41,0.0013199545212951597,2026-09-20 09:51:27.619258,2026-09-20 09:53:02.904856,0 days 00:01:35.285598,Sine,3,90,0.001,95.27720403671265,0.000518531734903517,0.0021213773076868025,"{""activation"": ""Sine"", ""hidden_layers"": 3, ""hidden_units"": 90, ""learning_rate"": 0.001}",COMPLETE
42,0.0013199545212951597,2026-09-20 09:53:02.905623,2026-09-20 09:54:39.136644,0 days 00:01:36.231021,Sine,3,90,0.001,96.22048950195312,0.000518531734903517,0.0021213773076868025,"{""activation"": ""Sine"", ""hidden_layers"": 3, ""hidden_units"": 90, ""learning_rate"": 0.001}",COMPLETE
43,0.006272235383387222,2026-09-20 09:54:39.137458,2026-09-20 09:56:14.640555,0 days 00:01:35.503097,Sine,3,15,0.01,95.49198961257935,0.00660964085526507,0.005934829911509375,"{""activation"": ""Sine"", ""hidden_layers"": 3, ""hidden_units"": 15, ""learning_rate"": 0.01}",COMPLETE
44,0.0013199545212951597,2026-09-20 09:56:14.641453,2026-09-20 09:57:54.652581,0 days 00:01:40.011128,Sine,3,90,0.001,100.00392270088196,0.000518531734903517,0.0021213773076868025,"{""activation"": ""Sine"", ""hidden_layers"": 3, ""hidden_units"": 90, ""learning_rate"": 0.001}",COMPLETE
45,0.44947914495412017,2026-09-20 09:57:54.653137,2026-09-20 09:59:28.093585,0 days 00:01:33.440448,Sigmoid,3,15,0.001,93.43227934837341,0.8829092435852295,0.01604904632301084,"{""activation"": ""Sigmoid"", ""hidden_layers"": 3, ""hidden_units"": 15, ""learning_rate"": 0.001}",COMPLETE
46,0.004230016504695509,2026-09-20 09:59:28.094348,2026-09-20 10:00:59.238008,0 days 00:01:31.143660,Tanh,3,90,0.0001,91.13609528541565,0.0006984147414834372,0.00776161826790758,"{""activation"": ""Tanh"", ""hidden_layers"": 3, ""hidden_units"": 90, ""learning_rate"": 0.0001}",COMPLETE
47,0.07175495650233862,2026-09-20 10:00:59.238528,2026-09-20 10:02:23.763544,0 days 00:01:24.525016,Sine,2,15,0.001,84.51766324043274,0.10866915247897364,0.03484076052570359,"{""activation"": ""Sine"", ""hidden_layers"": 2, ""hidden_units"": 15, ""learning_rate"": 0.001}",COMPLETE
48,0.01294751804110555,2026-09-20 10:02:23.764220,2026-09-20 10:03:42.055165,0 days 00:01:18.290945,Tanh,1,90,0.001,78.28388524055481,0.004105083760633867,0.02178995232157723,"{""activation"": ""Tanh"", ""hidden_layers"": 1, ""hidden_units"": 90, ""learning_rate"": 0.001}",COMPLETE
49,0.7094200984193925,2026-09-20 10:03:42.055838,2026-09-20 10:04:07.312635,0 days 00:00:25.256797,Sine,3,104,0.01,25.249600648880005,1.3971948102841998,0.0216453865545852,"{""activation"": ""Sine"", ""hidden_layers"": 3, ""hidden_units"": 104, ""learning_rate"": 0.01}",COMPLETE
