model_type,hidden_layers,hidden_units,adam_lr,adam_iters,lbfgs_iters,activation,grid_size,spline_order,sampling,sigma,exp_scale,n_obs_u,n_obs_k,n_pde,seed,lambda_pde_scheduler,adaptive_weights,alpha,update_every,regularization,pde_alpha,pde_beta,epsilon,parameters,flops,training_time_sec,compute_time_sec,evaluation_time_ms,first_derivative_time_ms,second_derivative_time_ms,err_u_global,err_k_global,err_u_inside,err_u_outside,err_k_inside,err_k_outside,mean_global_error,timestamp
MLP,1,25,0.001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,1502,2800,57.49806958699992,58.05016231536865,1.294149000386824,2.8499899999587797,7.616588999553642,0.16551030531457392,0.8943275888602402,0.20399375704218048,0.14084142600200558,1.1547822369429868,0.7273694811148899,0.529918947087407,2026-09-14_11-02-44
MLP,1,28,0.001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,1850,3472,58.18389339700025,58.79879450798035,1.4350589999594376,3.36118199993507,8.9789120002024,0.05509556964403066,0.6623291528052161,0.05900427518501086,0.05258998916904333,0.8776716843475143,0.5242890684832301,0.35871236122462336,2026-09-14_11-03-42
MLP,1,30,0.001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,2102,3960,65.97778261199983,66.62995505332947,1.5605150001647417,3.849460999845178,10.003178999795637,0.059660095103322874,0.7210861143261078,0.06869175920932277,0.05387056683024602,0.8239298769979354,0.6551606254339105,0.3903731047147153,2026-09-14_11-04-41
MLP,2,58,0.001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,14154,27608,67.0533559000005,67.80509924888611,8.946881000156282,19.114209000690607,58.705997000288335,0.010377032013005737,0.00024676799642288545,0.020162190352828773,0.004104494615683276,0.00029686121251082875,0.0002146569604690757,0.005311900004714311,2026-09-14_11-05-47
MLP,2,69,0.001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,19874,38916,63.63602294300017,64.40689969062805,11.172655999871495,25.13709100003325,70.84472800033836,0.013245095879882093,0.0003003820064784572,0.027581296327304765,0.004055223798200892,0.00017912202154353316,0.0003781127660521264,0.006772738943180275,2026-09-14_11-06-55
MLP,2,80,0.001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,26562,52160,66.02405190399986,66.81842255592346,12.934189000588958,29.885693000323954,82.65139600007387,0.005776633623964477,0.0001996200998244809,0.00882430340801691,0.00382299914700779,0.00018182038562920572,0.00021103017302658036,0.002988126861894479,2026-09-14_11-08-00
MLP,3,65,0.001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,26262,51480,72.89388257700011,73.7246778011322,14.999635000094713,33.38010300012684,100.23461299988412,0.008404613676160107,0.0007726875564150407,0.018630245433164543,0.001849721524234188,0.000290855541304638,0.0010815542327678631,0.004588650616287574,2026-09-14_11-09-07
MLP,3,78,0.001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,37598,73944,75.35053059300026,76.00194883346558,3.0252709993874305,6.076802000279713,15.80881900008535,0.016170702158051976,0.00034687073028150095,0.03580751665947672,0.0035830005545745805,0.00030491370862495263,0.00037376625698441653,0.008258786444166739,2026-09-14_11-10-20
MLP,3,91,0.001,2000,2000,Tanh(),,,gaussian,5.5,1.0,100,100,1000,2,True,True,7,100,False,0.5,5.0,1.0,50962,100464,76.15973259200018,76.8054769039154,3.4161670000685262,7.1029700002327445,18.504656000004616,0.011032536532075954,0.000628337461613768,0.02513526133024483,0.0019923283281215428,0.0002342798665298923,0.0008809384841034318,0.005830436996844861,2026-09-14_11-11-36
