number,value,datetime_start,datetime_complete,duration,params_grid_size,params_hidden_layers,params_hidden_units,params_learning_rate,params_spline_order,user_attrs_compute_time_sec,user_attrs_err_k,user_attrs_err_u,system_attrs_tpe:relative_params:0,state
31,0.008292008050936737,2026-09-16 01:31:40.316426,2026-09-16 01:40:57.708072,0 days 00:09:17.391646,5,3,25,0.01,4,557.3889946937561,0.009925046707719208,0.006658969394154269,"{""grid_size"": 5, ""hidden_layers"": 3, ""hidden_units"": 25, ""learning_rate"": 0.01, ""spline_order"": 4}",COMPLETE
8,0.013388235782758487,2026-09-15 22:38:03.314822,2026-09-15 22:46:48.857188,0 days 00:08:45.542366,5,3,25,0.01,4,525.5404114723206,0.019448688499049484,0.007327783066467488,,COMPLETE
11,0.02079354052505964,2026-09-15 22:57:47.212208,2026-09-15 23:09:40.106004,0 days 00:11:52.893796,3,3,25,0.01,4,712.8899548053741,0.010338350580516627,0.03124873046960265,"{""grid_size"": 3, ""hidden_layers"": 3, ""hidden_units"": 25, ""learning_rate"": 0.01, ""spline_order"": 4}",COMPLETE
16,0.024543839291037747,2026-09-15 23:44:41.439811,2026-09-15 23:54:05.553005,0 days 00:09:24.113194,5,3,25,0.01,4,564.109094619751,0.043467847658672426,0.005619830923403066,"{""grid_size"": 5, ""hidden_layers"": 3, ""hidden_units"": 25, ""learning_rate"": 0.01, ""spline_order"": 4}",COMPLETE
21,0.02779527127937049,2026-09-16 00:20:18.194584,2026-09-16 00:29:36.115553,0 days 00:09:17.920969,5,3,25,0.01,4,557.9168674945831,0.04352663819414929,0.012063904364591682,"{""grid_size"": 5, ""hidden_layers"": 3, ""hidden_units"": 25, ""learning_rate"": 0.01, ""spline_order"": 4}",COMPLETE
28,0.03822512575630256,2026-09-16 01:13:30.102763,2026-09-16 01:23:08.148989,0 days 00:09:38.046226,7,3,25,0.01,4,578.0423247814178,0.07050405183897775,0.00594619967362737,"{""grid_size"": 7, ""hidden_layers"": 3, ""hidden_units"": 25, ""learning_rate"": 0.01, ""spline_order"": 4}",COMPLETE
2,0.040214003644164484,2026-09-15 22:02:06.013292,2026-09-15 22:09:19.973888,0 days 00:07:13.960596,5,3,25,0.001,3,433.9589374065399,0.05135391575466239,0.029074091533666586,,COMPLETE
33,0.04687142358404853,2026-09-16 01:50:24.000296,2026-09-16 01:57:33.655279,0 days 00:07:09.654983,5,3,25,0.01,3,429.6510910987854,0.0876412192861683,0.00610162788192875,"{""grid_size"": 5, ""hidden_layers"": 3, ""hidden_units"": 25, ""learning_rate"": 0.01, ""spline_order"": 3}",COMPLETE
7,0.05798915990367632,2026-09-15 22:31:12.620154,2026-09-15 22:38:03.313192,0 days 00:06:50.693038,5,3,25,0.0001,3,410.6909098625183,0.1043385405169495,0.01163977929040313,,COMPLETE
32,0.05946586794865131,2026-09-16 01:40:57.710088,2026-09-16 01:50:23.999040,0 days 00:09:26.288952,5,3,25,0.0001,4,566.2850143909454,0.09541662438080925,0.023515111516493364,"{""grid_size"": 5, ""hidden_layers"": 3, ""hidden_units"": 25, ""learning_rate"": 0.0001, ""spline_order"": 4}",COMPLETE
15,0.06277821146804123,2026-09-15 23:34:57.052712,2026-09-15 23:44:41.438361,0 days 00:09:44.385649,7,3,25,0.0001,4,584.3826055526733,0.11314729959933832,0.012409123336744134,"{""grid_size"": 7, ""hidden_layers"": 3, ""hidden_units"": 25, ""learning_rate"": 0.0001, ""spline_order"": 4}",COMPLETE
22,0.06363057131956536,2026-09-16 00:29:36.117382,2026-09-16 00:41:40.765705,0 days 00:12:04.648323,3,3,25,0.001,4,724.644880771637,0.10432753884380207,0.022933603795328657,"{""grid_size"": 3, ""hidden_layers"": 3, ""hidden_units"": 25, ""learning_rate"": 0.001, ""spline_order"": 4}",COMPLETE
12,0.07452374140179849,2026-09-15 23:09:40.107264,2026-09-15 23:22:07.833493,0 days 00:12:27.726229,3,3,25,0.01,4,747.7222936153412,0.08708812271390254,0.06195936008969444,"{""grid_size"": 3, ""hidden_layers"": 3, ""hidden_units"": 25, ""learning_rate"": 0.01, ""spline_order"": 4}",COMPLETE
13,0.21601436283171113,2026-09-15 23:22:07.834635,2026-09-15 23:24:40.411707,0 days 00:02:32.577072,5,3,25,0.01,2,152.57379579544067,0.4013088656539138,0.03071986000950842,"{""grid_size"": 5, ""hidden_layers"": 3, ""hidden_units"": 25, ""learning_rate"": 0.01, ""spline_order"": 2}",COMPLETE
24,0.9133456518584243,2026-09-16 00:48:56.414343,2026-09-16 00:51:16.890371,0 days 00:02:20.476028,3,3,25,0.0001,2,140.47227001190186,0.7978882351369028,1.0288030685799459,"{""grid_size"": 3, ""hidden_layers"": 3, ""hidden_units"": 25, ""learning_rate"": 0.0001, ""spline_order"": 2}",COMPLETE
