model_type,hidden_layers,hidden_units,adam_lr,adam_iters,lbfgs_iters,activation,grid_size,spline_order,sampling,sigma,exp_scale,n_obs_u,n_obs_k,n_pde,seed,lambda_pde_scheduler,adaptive_weights,alpha,update_every,regularization,pde_alpha,pde_beta,epsilon,parameters,flops,training_time_sec,compute_time_sec,evaluation_time_ms,first_derivative_time_ms,second_derivative_time_ms,err_u_global,err_k_global,err_u_inside,err_u_outside,err_k_inside,err_k_outside,mean_global_error,timestamp
KAN,1,15,0.01,2000,2000,,5,4,gaussian,5.5,1.0,100,100,1000,42,True,True,7,100,False,0.5,5.0,1.0,990,1834,423.75124006900296,424.6453275680542,22.71344499604311,66.71483999525663,149.6368059888482,0.02941109816436487,0.5463184643336833,0.028800800200419363,0.02980231480791968,0.3810628232827757,0.6522515675714445,0.28786478124902404,2026-09-20_14-13-31
KAN,1,25,0.01,2000,2000,,5,4,gaussian,5.5,1.0,100,100,1000,42,True,True,7,100,False,0.5,5.0,1.0,1650,3054,373.12415115999465,374.9974434375763,30.706662000739016,96.73270600615069,731.630979993497,0.03049983488682235,0.10730814897803626,0.026391067408740514,0.03313366019328506,0.09196438163630749,0.11714389727401621,0.0689039919324293,2026-09-20_14-20-36
KAN,1,35,0.01,2000,2000,,5,4,gaussian,5.5,1.0,100,100,1000,42,True,True,7,100,False,0.5,5.0,1.0,2310,4274,264.1606007060036,269.94586062431335,247.76521399326157,1106.7984700057423,3636.502113993629,0.024954191155793535,0.010897783680318353,0.021634505294074752,0.027082194913305574,0.007864313864160938,0.012842315613752592,0.017925987418055945,2026-09-20_14-26-51
KAN,2,15,0.01,2000,2000,,5,4,gaussian,5.5,1.0,100,100,1000,42,True,True,7,100,False,0.5,5.0,1.0,5940,10864,725.2298165459943,726.6735103130341,41.42475500702858,124.59272300475277,341.52457799063995,0.010951854367568497,0.0020324287958982763,0.020507299817292476,0.0048265688228736345,0.0009782404642185976,0.0027081905469749927,0.006492141581733387,2026-09-20_14-31-21
KAN,2,25,0.01,2000,2000,,5,4,gaussian,5.5,1.0,100,100,1000,42,True,True,7,100,False,0.5,5.0,1.0,15400,28104,874.7588962959999,880.881698846817,66.67480499891099,579.2173520021606,3949.9085679999553,0.0026493589747366847,0.004793427894003612,0.00427610371404648,0.0016065738854355346,0.003020687171622131,0.0059298001519404574,0.0037213934343701483,2026-09-20_14-43-28
KAN,2,35,0.01,2000,2000,,5,4,gaussian,5.5,1.0,100,100,1000,42,True,True,7,100,False,0.5,5.0,1.0,29260,53344,375.8918422049901,388.50977420806885,827.6117870118469,3559.5032689889194,6860.414096008753,0.007698554626714974,0.0025208236038431076,0.01350021621947316,0.003979540785203317,0.0013730993767665104,0.003256544262225542,0.00510968911527904,2026-09-20_14-58-09
KAN,3,15,0.01,2000,2000,,5,4,gaussian,5.5,1.0,100,100,1000,42,True,True,7,100,False,0.5,5.0,1.0,10890,19894,1242.086964254995,1246.2213287353516,87.33989200845826,202.3539840010926,2195.2544300002046,0.001552919395441438,0.0015799645316894148,0.0020342247609685653,0.001244390314975331,0.0013465113485040738,0.001729614008090274,0.0015664419635654265,2026-09-20_15-04-37
KAN,3,25,0.01,2000,2000,,5,4,gaussian,5.5,1.0,100,100,1000,42,True,True,7,100,False,0.5,5.0,1.0,29150,53154,1113.7176061369973,1124.4796750545502,99.72910399665125,2468.4182640048675,4827.954588006833,0.0020760812482989817,0.0021237895771041037,0.0019951162601852166,0.002127981881705241,0.0009546368136823854,0.00287324647673341,0.002099935412701543,2026-09-20_15-25-23
KAN,3,35,0.01,2000,2000,,5,4,gaussian,5.5,1.0,100,100,1000,42,True,True,7,100,False,0.5,5.0,1.0,56210,102414,221.25856074599142,244.6867265701294,1783.3474729995942,5484.478255006252,14573.580992000643,0.004320796587642721,0.0038843524578271358,0.008196988350405877,0.0018360582781791594,0.0032078767391101925,0.004317990739055945,0.004102574522734929,2026-09-20_15-44-08
